"";"Omrade";"Kön";"Ålder";"Sysselsättning";"Utbildningsnivå";"År";"Alt.1a";"Alt.1b";"Alt.1c";"Alt.1d";"Alt.1e";"Alt.2a";"Alt.2b";"Alt.2c";"Alt.2d";"Alt.2e";"Alt.3a";"Alt.3b";"Alt.3c";"Alt.3d";"Alt.3e";"Alt.4a";"Alt.4b";"Alt.4c";"Alt.4d";"Alt.4e";"Alt.5a";"Alt.5b";"Alt.5c";"Alt.5d";"Alt.5e";"Alt.6a";"Alt.6b";"Alt.6c";"Alt.6d";"Alt.6e";"Alt.7a";"Alt.7b";"Alt.7c";"Alt.7d";"Alt.7e";"Alt.8a";"Alt.8b";"Alt.8c";"Alt.8d";"Alt.8e";"Alt.9a";"Alt.9b";"Alt.9c";"Alt.9d";"Alt.9e";"Alt.10a";"Alt.10b";"Alt.10c";"Alt.10d";"Alt.10e";"Parker...grönområden";"Mångfald.i.bostadsutbudet";"Levandegöra.gemensamma.platser";"Kommunikationer";"Kultur...fritid";"Utbildning";"Omsorg";"Skolan";"Trygghet";"Ekologisk.hållbarhet";"Motsättning.1";"Motsättning.2";"Motsättning.3"
"809";"Frestaby";"Man";"55-64";"Förvärvsarbetande (anställd)";"Annan eftergymnasial utbildning";"0-4 år";6;8;11;9;2;5;8;10;2;13;1;8;6;10;11;7;4;9;12;6;7;7;7;7;7;11;3;6;9;9;7;7;7;7;12;13;7;7;13;7;9;12;13;8;5;8;10;6;12;7;10;11;4;9;2;5;6;7;8;3;5;7;6
"810";"Frestaby";"Man";"55-64";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";14;8;5;14;14;9;9;9;7;1;7;8;9;7;14;8;12;14;7;14;7;6;14;4;0;14;6;9;14;14;9;9;14;9;4;5;14;13;13;4;14;14;6;7;7;8;7;14;7;14;0;0;0;0;0;0;14;6;14;3;4;10;8
"811";"Carlslund/Brunnby Park";"Kvinna";"25-34";"Förvärvsarbetande (anställd)";"Högskola/universitet";"0-4 år";11;10;7;11;6;6;6;9;7;9;6;10;9;8;7;9;6;8;6;10;7;7;7;7;7;6;9;9;7;7;6;6;8;5;14;15;7;7;13;7;8;7;14;7;7;7;7;7;7;7;12;3;12;5;4;9;9;9;7;12;11;12;10
"812";"Runby";"Man";"45-54";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";6;8;4;9;5;13;9;12;2;7;3;4;8;12;6;14;5;14;14;14;14;14;3;13;8;8;14;9;14;14;0;12;9;11;13;3;14;14;15;12;14;14;6;1;5;14;14;9;8;14;3;10;2;14;9;12;4;8;11;6;8;3;2
"813";"Länk-/Klock-/Kedje-/Bygelvägen";"Kvinna";"55-64";"Egen företagare";"Annan eftergymnasial utbildning";"10 år eller mer";1;3;13;12;13;13;12;8;8;14;11;8;10;12;7;11;13;8;10;7;11;10;9;7;13;8;10;12;14;14;8;13;13;14;6;7;14;14;6;14;14;14;6;3;2;14;14;13;14;13;8;7;9;14;11;14;14;14;13;10;3;8;8
"814";"Södra Bollstanäs";"Kvinna";"15-24";"Student";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";10;6;9;10;7;14;13;5;7;0;6;10;6;4;12;3;12;14;6;13;8;3;9;10;5;11;2;12;14;9;7;9;11;7;5;6;11;12;12;4;12;8;10;5;14;14;10;9;12;11;7;4;1;2;2;7;7;7;3;6;4;8;9
"815";"Prästgårdsmarken";"Kvinna";"65+";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";13;14;2;12;12;9;6;8;14;12;8;11;1;2;7;12;9;7;7;7;7;7;7;7;7;13;3;11;12;14;14;11;10;13;13;6;7;7;13;7;10;9;13;7;7;13;10;9;7;7;13;9;14;7;7;6;13;14;14;12;4;4;9
"816";"Carlslund/Brunnby Park";"Kvinna";"65+";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";14;11;0;12;10;13;12;4;12;4;13;4;5;4;12;14;11;6;11;13;14;5;5;11;13;14;11;8;11;12;2;12;14;13;4;6;12;14;13;7;14;13;3;10;2;14;10;10;9;12;2;13;4;14;5;14;13;14;14;8;4;4;4
"817";"Väsby villastad/Tegelbruket";"Kvinna";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";14;7;7;7;7;13;8;13;8;3;4;7;12;12;12;14;14;7;7;7;4;14;4;4;4;12;12;12;12;12;4;12;8;10;5;4;11;8;13;7;12;9;4;8;8;10;10;10;9;9;11;13;4;6;12;12;7;7;4;2;4;4;2
"818";"Brunnby-Vik";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";6;8;11;8;9;6;8;9;0;14;8;8;7;8;8;8;7;9;10;13;8;6;8;6;10;8;8;8;8;8;8;10;7;8;13;14;11;11;4;9;8;8;15;6;7;7;12;8;8;8;7;7;7;12;7;7;7;9;9;7;3;8;8
"819";"Holmen";"Kvinna";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";12;11;6;11;6;7;12;4;4;2;5;4;4;11;11;11;11;12;11;12;11;10;10;4;4;12;3;12;11;11;14;14;14;14;13;13;7;7;13;7;12;12;4;12;4;11;14;9;9;13;14;10;14;14;14;0;0;0;0;0;4;4;4
"820";"Brunnby-Vik";"Man";"55-64";"Förvärvsarbetande (anställd)";"Annan eftergymnasial utbildning";"10 år eller mer";0;9;14;1;3;14;7;8;6;14;7;13;8;12;11;3;12;8;6;14;14;12;8;6;7;4;13;8;10;14;13;8;11;12;14;15;14;12;13;4;14;11;8;7;7;12;8;14;5;9;7;9;6;5;14;8;11;9;6;10;5;2;2
"821";"Norra Bollstanäs";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"5-9 år";14;11;11;13;13;10;10;12;7;7;9;7;11;11;14;14;11;14;11;14;11;8;11;11;7;14;10;14;14;14;11;11;14;11;3;15;14;14;7;14;14;13;5;10;11;10;10;10;8;14;9;6;9;6;7;11;11;11;11;6;7;9;10
"822";"Södra Bollstanäs";"Man";"35-44";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";9;3;8;5;11;9;5;9;0;7;6;9;9;8;14;5;6;6;5;14;14;4;12;3;2;14;14;14;14;14;3;13;8;12;14;12;14;14;11;11;13;12;3;3;9;14;14;14;14;14;1;1;3;5;3;14;1;14;13;13;12;12;11
"823";"Skälby";"Man";"65+";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";11;12;11;14;12;13;12;8;9;1;11;11;5;8;13;9;11;5;11;8;6;5;10;10;6;12;6;11;14;13;9;10;14;11;11;12;12;9;14;10;13;14;6;14;9;8;9;6;5;10;13;9;8;12;1;5;14;9;14;3;4;6;9
"824";"Skälby";"Man";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";11;8;9;8;8;8;8;8;9;9;6;6;6;8;9;6;8;8;9;14;9;9;10;10;10;13;10;10;14;14;11;11;14;11;3;5;14;12;3;10;10;14;15;6;6;11;8;10;14;10;3;3;1;14;6;14;14;14;13;6;9;9;7
"825";"Sanda Ängar";"Man";"35-44";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";6;6;6;6;6;6;6;9;7;7;7;7;7;7;7;5;5;5;9;14;10;7;7;7;7;7;7;7;14;14;7;7;7;7;12;13;14;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;14;6;14;0;0;6;6;5
"826";"Vilunda/Korpkulla";"Man";"55-64";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";8;4;8;10;10;11;11;8;3;8;7;7;7;7;11;7;5;9;8;10;7;7;7;7;11;7;7;7;7;7;9;7;9;7;12;13;7;7;13;7;11;7;3;7;11;9;4;9;4;11;4;10;5;10;5;10;10;10;10;6;11;5;5
"827";"Södra Bollstanäs";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Annan eftergymnasial utbildning";"10 år eller mer";5;8;14;8;9;5;9;10;4;10;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;5;5;5;11;11;9;9;9;9;14;5;13;7;13;7;10;10;4;12;5;7;7;7;7;12;1;1;1;5;1;11;11;11;11;5;3;9;3
"828";"Frestaby";"Man";"55-64";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";11;4;11;5;7;13;13;10;7;7;11;9;9;10;9;10;8;9;9;12;7;7;7;7;7;10;10;10;10;9;8;9;9;7;12;13;7;7;13;7;14;13;13;7;7;7;7;7;7;7;8;8;2;8;1;2;6;0;0;0;10;11;8
"829";"Norra Bollstanäs";"Man";"35-44";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"0-4 år";14;11;8;13;12;14;12;10;8;7;9;8;10;14;13;11;14;8;10;13;12;8;14;9;11;8;8;12;14;13;13;13;13;12;6;7;12;13;4;10;10;11;4;13;14;12;10;11;13;14;12;11;8;10;6;13;14;14;13;12;8;8;8
"830";"Frestaby";"Kvinna";"45-54";"Har sjuk- eller aktivitetsersättning";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";6;9;8;13;11;6;6;8;6;10;5;6;8;9;9;5;6;4;9;10;9;8;6;8;8;8;6;8;9;9;8;7;9;7;13;3;9;8;12;9;9;8;12;6;7;6;9;6;8;8;5;3;6;12;7;9;7;10;7;4;9;7;7
"831";"Carlslund/Brunnby Park";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";14;11;8;8;11;14;8;8;14;6;7;7;7;7;7;10;6;8;8;14;8;8;6;14;8;8;6;8;14;14;8;14;14;14;6;7;14;14;12;9;11;6;15;6;8;14;8;14;14;14;14;7;7;14;7;14;14;14;14;14;4;12;8
"832";"Frestaby";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";8;7;9;8;7;7;6;6;6;7;6;6;6;7;7;10;6;6;8;6;8;6;7;7;7;9;6;8;8;8;6;8;6;7;12;12;8;9;14;7;8;8;14;6;8;8;6;9;6;8;8;1;4;6;4;9;3;10;7;9;10;7;9
"833";"Södra Bollstanäs";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";10;12;13;8;7;9;7;5;6;14;6;12;9;12;11;6;13;4;13;14;13;11;12;10;4;4;14;14;14;13;5;13;5;12;3;4;14;13;7;10;9;12;4;3;9;6;10;10;8;11;2;1;3;13;8;11;9;14;10;5;6;7;11
"834";"Runby";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";11;11;3;11;11;11;11;8;8;3;7;11;7;11;11;7;11;7;11;11;11;11;11;7;7;11;7;11;11;11;11;11;11;11;3;4;11;10;13;11;11;11;3;7;7;7;7;7;7;7;9;9;9;9;9;9;9;9;9;9;4;4;8
"835";"Södra Bollstanäs";"Kvinna";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";7;6;6;8;5;11;9;7;7;7;7;10;10;10;10;8;7;11;7;10;8;10;6;11;7;12;10;8;11;10;7;7;7;7;12;5;12;12;13;6;10;10;13;7;7;7;7;7;7;7;5;5;8;6;5;4;5;9;9;5;7;8;5
"836";"Vilunda/Korpkulla";"Kvinna";"35-44";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";11;10;4;11;11;14;9;10;7;7;6;11;8;6;12;11;11;8;11;11;11;11;11;11;7;10;7;7;7;7;11;11;7;7;12;4;10;9;13;7;11;11;3;11;11;9;9;11;12;11;14;11;12;10;9;13;12;10;9;11;4;4;2
"837";"Odenslunda";"Man";"45-54";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";9;9;9;9;9;9;9;7;7;7;7;7;7;7;7;7;7;7;7;7;12;8;14;7;7;11;14;13;14;14;8;11;14;14;6;7;14;14;7;14;11;14;3;11;11;11;11;11;11;11;7;7;7;9;11;14;14;14;14;14;12;8;8
"838";"Hasselbacken";"Man";"65+";"Pensionär";"Annan eftergymnasial utbildning";"10 år eller mer";7;7;7;7;7;8;6;7;7;7;4;8;7;7;7;9;7;7;7;7;10;7;7;7;7;6;8;9;7;7;6;7;7;7;12;12;7;7;13;7;6;9;2;7;7;7;7;7;7;7;3;3;3;3;3;4;1;2;3;0;7;7;6
"839";"Kavallerigatan/Vilundaparken";"Man";"35-44";"Långtidssjukskriven (mer än 3 månader)";"Högskola/universitet";"10 år eller mer";11;4;4;9;9;6;5;5;5;1;8;8;6;10;12;10;10;5;9;9;11;6;8;9;8;11;9;10;11;11;13;11;9;6;14;15;11;11;15;14;8;11;14;8;8;8;8;11;11;11;7;2;8;6;3;4;1;5;9;10;4;8;9
"840";"Norra Bollstanäs";"Man";"55-64";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";14;11;0;14;14;14;14;14;4;0;14;9;9;10;11;10;8;9;9;8;14;14;14;14;9;12;14;14;14;14;10;14;14;14;6;7;14;14;7;14;14;14;6;14;7;14;14;14;14;14;3;14;4;10;13;14;14;14;14;14;4;4;8
"841";"Folkparksområdet";"Man";"15-24";"Förvärvsarbetande (anställd)";"Annan eftergymnasial utbildning";"10 år eller mer";4;9;14;9;10;5;6;8;6;14;5;10;6;8;14;6;6;8;8;14;6;8;8;5;5;6;13;10;11;7;8;7;11;10;2;14;14;11;5;8;14;14;15;12;13;4;11;5;9;9;3;1;2;13;5;12;8;10;14;6;2;7;10
"842";"Infra City";"Kvinna";"15-24";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";9;7;14;12;7;14;9;7;9;11;14;0;11;11;14;14;9;10;5;14;14;0;11;12;13;10;10;12;14;14;10;10;11;8;6;7;14;14;4;11;11;11;13;11;14;14;10;14;14;10;11;13;13;14;11;14;14;14;14;12;11;6;10
"843";"Stallgatan";"Man";"35-44";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";10;8;8;9;10;8;8;8;7;6;5;7;7;7;9;7;9;7;9;7;8;8;8;7;7;8;10;10;10;10;8;8;8;8;13;14;8;8;14;7;8;7;13;7;7;8;8;8;7;7;12;13;11;13;10;14;13;14;10;10;11;9;6
"844";"Vilunda/Korpkulla";"Kvinna";"55-64";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";14;7;7;11;14;14;11;10;14;4;8;6;10;14;14;12;14;14;14;9;12;12;7;14;14;14;9;12;14;14;9;14;11;14;6;7;14;14;6;13;14;14;6;7;7;11;8;14;14;14;6;14;6;12;10;14;10;14;14;14;12;8;8
"845";"Odenslunda";"Kvinna";"55-64";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";12;10;7;7;10;9;9;8;8;7;6;6;6;9;9;8;8;7;7;7;9;9;9;9;9;11;6;11;11;7;10;9;9;10;14;4;9;10;15;8;11;9;15;7;7;11;10;10;10;11;10;8;7;7;8;9;9;8;8;8;11;8;8
"846";"Södra Bollstanäs";"Kvinna";"25-34";"Tjänstledig eller föräldraledig";"Högskola/universitet";"0-4 år";9;4;8;13;9;8;7;12;5;4;1;8;4;6;5;8;3;6;2;9;12;6;11;5;7;11;8;9;12;13;8;8;8;7;2;3;11;12;14;9;10;11;4;6;7;6;6;9;8;12;8;7;2;5;3;14;4;13;1;0;9;9;9
"847";"Södra Bollstanäs";"Kvinna";"55-64";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";11;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;11;7;7;7;7;7;7;14;14;6;7;7;7;13;7;7;14;13;7;7;13;11;9;8;14;13;12;8;13;12;14;12;14;14;11;12;11;8
"848";"Vilunda/Korpkulla";"Kvinna";"35-44";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";14;5;2;12;7;13;13;9;9;1;6;10;4;5;14;8;14;10;12;13;14;7;13;7;7;14;9;14;14;14;8;14;14;14;6;7;14;10;3;12;14;14;6;7;7;14;14;14;14;14;6;2;9;8;10;4;3;4;1;4;4;4;10
"849";"Frestaby";"Man";"55-64";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";11;9;8;10;7;9;10;9;7;4;7;7;7;7;7;8;9;7;7;7;7;5;8;9;10;9;6;9;14;13;9;8;11;12;3;4;12;11;14;11;11;10;14;10;6;7;8;7;10;11;6;5;4;7;5;12;12;12;12;8;11;10;10
"850";"Runby";"Kvinna";"65+";"Pensionär";"Grundskola eller motsvarande obligatorisk skola";"10 år eller mer";10;10;7;7;7;8;6;6;6;5;4;3;9;5;7;10;10;9;5;7;11;7;10;9;9;8;9;7;10;7;2;5;3;6;10;10;4;1;9;2;4;5;12;6;6;5;6;4;6;5;5;6;5;4;5;4;6;8;5;6;10;9;7
"851";"Runby";"Kvinna";"65+";"Pensionär";"Grundskola eller motsvarande obligatorisk skola";"10 år eller mer";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;8;8;8
"852";"Norra Bollstanäs";"Kvinna";"55-64";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";14;10;10;10;11;10;10;8;6;12;11;9;7;7;7;7;9;12;9;14;9;8;8;8;9;10;10;10;12;12;7;7;7;7;12;13;7;7;13;7;14;14;3;7;7;10;11;11;11;12;9;6;6;14;9;11;11;11;11;11;8;8;7
"853";"Sigma/Apoteksskogen";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";11;11;11;11;11;11;11;7;7;7;8;8;8;8;11;9;11;11;11;7;11;11;8;11;10;11;11;11;11;11;11;11;11;11;3;4;11;11;15;11;11;11;3;7;7;8;11;8;11;8;6;11;6;10;6;7;9;9;12;7;4;11;8
"854";"Grimstaby";"Man";"55-64";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;8;8;8
"855";"Messingen/Optimus";"Kvinna";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";11;11;3;7;7;10;9;3;5;7;4;6;6;8;10;8;9;8;10;7;9;8;6;8;10;8;8;9;11;11;9;8;11;6;14;14;11;11;12;8;9;9;2;8;6;9;6;9;11;10;4;2;1;3;2;7;7;7;2;3;4;6;7
"856";"Frestaby";"Kvinna";"35-44";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;8;8;8
"857";"Folkparksområdet";"Kvinna";"35-44";"Egen företagare";"Högskola/universitet";"5-9 år";14;9;5;14;8;11;11;11;7;0;9;13;6;7;7;14;6;14;9;10;12;4;8;9;14;14;9;12;14;7;10;11;9;14;6;7;8;8;14;7;14;8;6;14;0;13;13;8;14;14;3;1;6;10;14;9;12;14;12;14;4;4;8
"858";"Sanda Ängar";"Man";"25-34";"Förvärvsarbetande (anställd)";"Grundskola eller motsvarande obligatorisk skola";"0-4 år";7;13;14;11;10;10;13;12;4;14;7;7;7;13;7;14;9;7;8;8;10;8;8;11;9;12;12;12;14;14;11;12;10;14;6;7;14;12;5;8;13;11;2;5;12;11;11;11;9;14;7;4;8;10;7;13;11;14;12;7;3;6;11
"859";"Södra Prästgårdsmarken";"Kvinna";"35-44";"Förvärvsarbetande (anställd)";"Högskola/universitet";"5-9 år";9;5;8;11;7;8;8;8;6;8;5;8;5;8;11;6;9;6;8;9;11;5;11;11;7;9;10;11;11;11;6;10;8;10;3;4;11;11;4;11;11;11;3;11;11;8;8;9;11;7;4;1;2;5;7;12;11;12;12;10;9;7;6
"860";"Runby";"Man";"35-44";"Student";"Annan eftergymnasial utbildning";"5-9 år";11;11;8;14;14;14;14;14;3;14;14;9;8;11;14;10;14;14;14;14;14;14;14;14;14;14;13;14;14;14;13;14;14;14;6;7;14;14;5;13;14;10;5;13;14;9;9;13;14;14;13;12;12;14;12;14;12;14;14;14;8;8;8
"861";"Carlslund/Brunnby Park";"Man";"15-24";"Student";"Gymnasium, folkhögskola eller motsvarande";"5-9 år";7;7;7;7;7;14;14;10;6;10;8;13;12;11;11;11;11;11;11;11;13;12;13;6;10;6;8;8;8;9;9;9;8;9;12;13;7;7;13;7;10;7;2;6;14;14;8;10;10;14;14;13;12;13;13;14;13;14;14;14;8;8;8
"862";"Vilunda/Korpkulla";"Man";"65+";"Pensionär";"Annan eftergymnasial utbildning";"10 år eller mer";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;8;8;8
"863";"Sjukyrkoberget";"Man";"65+";"Pensionär";"Annan eftergymnasial utbildning";"10 år eller mer";14;8;9;9;10;6;10;8;8;0;3;2;12;13;14;2;3;5;4;14;8;1;10;6;14;14;5;14;11;11;9;10;14;8;6;7;13;10;7;8;8;13;14;5;6;10;11;8;9;11;6;3;2;10;5;9;11;12;14;13;4;3;2
"864";"Folkparksområdet";"Man";"65+";"Pensionär";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;8;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;4;0;0;0;0;0;0;0;0;0;9;9;9
"865";"Carlslund/Brunnby Park";"Man";"15-24";"Förvärvsarbetande (anställd)";"Högskola/universitet";"0-4 år";9;4;6;9;7;5;10;3;4;8;9;4;9;4;9;9;8;9;5;9;8;5;5;10;7;4;10;9;9;11;8;8;9;6;12;12;9;8;5;7;6;9;12;4;6;8;10;8;11;9;5;4;5;12;6;8;6;6;10;5;6;6;10
"866";"Carlslund/Brunnby Park";"Kvinna";"35-44";"Student";"Högskola/universitet";"5-9 år";11;11;4;11;4;8;11;4;8;3;8;8;8;8;3;7;7;7;7;7;13;13;13;13;13;11;8;11;11;11;12;12;12;12;4;7;14;8;14;8;8;11;4;10;6;14;14;14;14;14;14;3;10;9;14;14;14;14;14;14;4;5;5
"867";"Runby";"Kvinna";"55-64";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";12;14;4;12;5;9;14;4;6;0;6;10;14;14;8;9;8;5;10;14;7;14;6;11;14;11;9;14;14;14;14;14;10;9;6;7;12;14;11;8;14;8;15;7;7;14;10;14;14;14;6;5;9;14;13;3;9;4;10;14;4;5;6
"868";"Norra Bollstanäs";"Kvinna";"35-44";"Förvärvsarbetande (anställd)";"Högskola/universitet";"0-4 år";9;4;3;11;11;10;10;6;5;5;7;7;7;7;7;7;10;3;3;14;7;7;7;7;7;11;6;14;14;5;3;14;7;14;6;4;14;14;4;5;9;9;15;11;3;11;11;12;14;11;1;2;3;14;6;14;14;14;14;12;4;10;9
"869";"Runby";"Kvinna";"55-64";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";11;9;10;11;14;9;11;8;8;8;6;8;10;11;9;13;13;8;9;8;8;9;8;8;8;6;8;9;13;14;10;11;9;8;2;3;13;9;14;7;9;8;15;6;7;7;7;7;7;7;4;1;1;7;7;9;9;10;4;9;12;8;8
"870";"Skälby";"Man";"55-64";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";10;9;9;9;9;11;9;8;8;7;8;8;6;9;9;10;10;10;10;10;10;8;11;6;7;8;9;9;10;10;9;10;10;6;2;3;11;11;14;10;9;11;15;10;8;11;11;11;6;11;5;4;3;2;2;6;7;7;7;7;12;12;3
"871";"Prästgårdsmarken";"Man";"25-34";"Förvärvsarbetande (anställd)";"Annan eftergymnasial utbildning";"10 år eller mer";14;8;1;8;5;6;8;8;6;2;9;4;5;9;14;4;6;6;13;6;9;8;14;9;6;8;11;14;14;14;11;11;13;9;6;7;14;14;1;11;6;8;15;6;8;14;9;14;14;14;14;1;3;3;4;14;12;13;2;14;4;4;6
"872";"Norra Bollstanäs";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";14;8;8;8;14;14;14;8;8;0;14;14;8;9;14;14;14;8;14;14;6;9;6;9;6;14;7;7;14;14;5;5;14;14;6;7;14;7;13;7;11;7;13;7;0;7;7;8;4;14;5;4;0;14;0;14;14;14;2;0;4;10;5
"873";"Vilunda/Korpkulla";"Man";"55-64";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";9;10;5;10;6;9;9;8;9;6;6;10;9;9;8;8;9;5;6;8;10;5;10;6;6;9;9;9;9;8;6;9;7;8;13;15;9;9;15;8;8;9;15;5;7;6;8;5;4;8;3;0;2;0;0;3;0;3;1;0;11;8;5
"874";"Vilunda/Korpkulla";"Man";"65+";"Pensionär";"Högskola/universitet";"10 år eller mer";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;12;13;7;7;13;7;7;7;13;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;8;8;8
"875";"Runby";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";11;11;3;11;10;8;8;6;8;6;6;6;7;7;7;6;9;8;7;7;9;7;9;7;7;10;6;10;10;10;6;8;8;7;12;14;9;9;13;7;9;8;13;7;7;8;8;8;7;7;6;3;1;6;5;9;4;10;6;5;4;4;8
"876";"Södra Bollstanäs";"Man";"45-54";"Förvärvsarbetande (anställd)";"Gymnasium, folkhögskola eller motsvarande";"10 år eller mer";7;8;10;9;7;9;8;10;4;11;5;9;8;8;9;7;8;9;6;10;8;6;7;4;5;10;6;8;10;8;8;8;8;6;13;14;9;8;13;9;10;9;15;6;4;8;9;6;5;8;11;8;9;12;10;11;10;11;12;4;3;7;3
"877";"Sjukyrkoberget";"Man";"65+";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";12;8;9;8;8;9;8;6;6;8;4;5;7;8;9;10;10;7;9;9;10;4;10;8;11;9;10;10;13;13;9;8;11;11;3;5;12;12;14;8;11;8;15;7;6;9;11;11;9;13;1;2;2;11;8;11;12;12;13;11;9;7;7
"878";"Brunnby-Vik";"Kvinna";"25-34";"Förvärvsarbetande (anställd)";"Högskola/universitet";"10 år eller mer";14;7;14;9;8;8;8;14;2;7;8;9;7;7;7;14;14;14;14;14;7;7;7;0;7;10;12;11;14;13;6;6;12;12;13;14;9;14;13;10;14;14;4;7;7;14;7;14;14;14;2;2;2;14;2;14;8;14;14;14;4;2;8
"879";"Runby";"Kvinna";"45-54";"Förvärvsarbetande (anställd)";"Forskarutbildning";"0-4 år";11;6;6;11;11;12;12;12;3;7;7;7;7;7;7;8;8;8;8;11;9;5;8;8;9;8;8;9;13;11;8;9;9;8;14;3;13;13;5;10;14;8;5;7;7;8;14;8;8;12;1;2;3;13;4;7;10;14;8;9;11;8;3
