"Area";"Gender";"Age";"Occupation";"Education level";"Year";"Alt.1a";"Alt.1b";"Alt.1c";"Alt.1d";"Alt.1e";"Alt.2a";"Alt.2b";"Alt.2c";"Alt.2d";"Alt.2e";"Alt.3a";"Alt.3b";"Alt.3c";"Alt.3d";"Alt.3e";"Alt.4a";"Alt.4b";"Alt.4c";"Alt.4d";"Alt.4e";"Alt.5a";"Alt.5b";"Alt.5c";"Alt.5d";"Alt.5e";"Alt.6a";"Alt.6b";"Alt.6c";"Alt.6d";"Alt.6e";"Alt.7a";"Alt.7b";"Alt.7c";"Alt.7d";"Alt.7e";"Alt.8a";"Alt.8b";"Alt.8c";"Alt.8d";"Alt.8e";"Alt.9a";"Alt.9b";"Alt.9c";"Alt.9d";"Alt.9e";"Alt.10a";"Alt.10b";"Alt.10c";"Alt.10d";"Alt.10e";"Parks and green areas";"Diversity in housing supply";"Invest in public areas";"Communications";"Culture and leisure";"Education";"Care";"School";"Safety";"Ecological sustainability";"Disagreement 1";"Disagreement 2";"Disagreement 3"
"Messingen/Optimus";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";11;3;11;11;11;11;11;7;7;7;8;3;8;8;11;11;8;8;11;8;3;3;3;3;3;11;3;11;11;11;7;7;11;11;11;11;11;11;8;11;11;11;7;3;3;11;11;11;11;11;10;10;3;10;3;11;3;11;10;11;5;4;7
"Runby Backar/Lövsta";"Man";"45-54";"Sickness or activity benefit";"College/University";"0-4 years";11;11;11;11;11;11;11;11;7;7;5;5;5;9;9;9;11;5;14;4;7;7;7;7;7;13;5;9;9;9;13;8;14;10;10;12;11;8;5;7;14;10;5;3;2;14;14;14;14;14;14;14;14;14;10;14;14;9;9;14;4;7;6
"Runby";"Woman";"55-64";"Employee";"College/University";"5-9 years";8;10;12;4;7;2;11;6;3;11;11;4;4;10;12;3;10;9;9;12;8;11;5;11;7;8;7;10;11;11;5;11;7;11;10;11;12;13;10;7;8;11;11;4;5;10;6;11;13;11;5;5;9;10;8;12;12;12;11;5;0;7;7
"Norra Bollstanäs";"Man";"65+";"Senior citizen";"Other post-secondary education";"5-9 years";10;9;9;9;9;9;8;8;9;8;12;11;10;10;12;11;11;11;11;11;11;11;11;8;10;13;14;13;13;13;12;11;13;12;13;11;11;10;10;10;11;11;11;11;7;8;8;9;10;8;8;5;7;8;4;8;5;5;11;8;7;6;5
"Grimstaby";"Woman";"35-44";"Employee";"College/University";"5-9 years";12;10;3;8;4;11;11;8;9;3;7;7;7;7;7;12;8;10;12;7;10;10;10;10;10;14;6;13;14;14;8;10;8;10;10;14;14;14;9;9;10;10;10;14;7;7;7;7;7;7;9;9;6;6;10;14;6;14;11;5;10;5;7
"Norra Bollstanäs";"Woman";"55-64";"Employee";"College/University";"5-9 years";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;5;5;5
"Eds Glesbygd";"Man";"55-64";"Self-employed";"College/University";"5-9 years";9;7;10;7;7;9;9;9;6;11;10;5;8;10;10;9;9;9;9;7;9;9;9;8;7;8;8;8;11;11;8;8;10;11;10;8;9;10;8;8;11;11;11;11;8;10;8;8;7;7;3;7;7;4;4;12;10;12;12;1;0;4;9
"Smedby 2";"Woman";"65+";"Senior citizen";"College/University";"0-4 years";10;10;9;7;7;10;11;7;7;7;5;11;11;12;12;12;11;11;10;10;14;12;11;4;7;12;13;12;12;12;14;11;12;11;7;11;10;10;11;7;9;10;11;7;7;9;9;11;8;6;9;6;4;9;4;9;4;10;11;3;6;6;6
"Hasselbacken";"Woman";"35-44";"Employee";"Doctorate";"10 or more years";11;8;4;10;7;8;8;8;8;5;8;6;7;7;7;7;7;7;7;7;7;7;7;7;7;9;9;9;9;9;10;10;10;10;10;11;11;10;5;11;11;9;8;10;10;9;10;11;9;12;9;4;6;6;6;11;11;11;11;11;10;10;5
"Fresta glesbygd";"Man";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;5;5;5
"Vilunda/Korpkulla";"Woman";"35-44";"Employee";"High school, Nordic folk high school, or equivalent";"0-4 years";11;9;4;14;3;11;9;14;13;0;0;14;2;12;13;14;0;13;4;9;14;14;11;4;0;0;14;14;14;14;10;14;12;9;8;9;14;11;13;8;8;14;9;0;13;9;14;9;13;9;8;10;7;11;6;14;9;13;12;5;10;0;0
"Johannesdal";"Man";"65+";"Senior citizen";"Elementary school or equivalent compulsory school";"5-9 years";11;8;6;11;7;12;12;6;4;5;6;9;5;10;10;3;5;4;9;9;11;5;9;5;10;5;10;9;10;10;8;8;11;11;10;10;9;9;10;9;10;9;8;5;4;8;7;4;8;7;3;4;3;4;3;6;5;7;3;1;8;6;3
"Prästgårdsmarken";"Woman";"35-44";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";10;9;8;9;8;8;10;8;7;7;9;8;8;8;7;8;10;6;8;10;10;6;10;6;8;11;9;10;11;11;6;8;9;8;10;10;11;11;11;11;10;10;9;7;7;9;10;10;11;9;5;4;4;9;5;12;11;14;12;11;7;8;4
"Njursta";"Woman";"35-44";"Employee";"Other post-secondary education";"5-9 years";14;8;4;9;7;10;10;0;0;0;0;0;9;9;14;4;12;4;10;14;10;0;14;11;11;14;0;14;14;6;0;8;10;14;14;14;14;14;14;14;14;14;10;4;4;8;14;9;3;14;9;6;3;13;10;9;11;14;14;2;9;10;5
"Frestaby";"Woman";"45-54";"Employee";"College/University";"5-9 years";13;13;6;13;12;12;12;7;8;6;7;7;7;7;7;10;11;8;8;7;13;9;13;9;9;14;14;14;14;14;13;13;13;13;13;14;14;14;14;14;14;13;13;7;10;14;14;14;14;14;12;11;12;14;14;14;14;14;14;11;9;8;5
"Hasselbacken";"Woman";"55-64";"Employee";"Elementary school or equivalent compulsory school";"5-9 years";10;2;11;12;7;11;10;3;1;7;1;1;11;13;11;11;5;8;6;12;8;3;9;12;4;10;5;10;12;12;11;10;12;8;9;9;12;8;8;13;13;9;8;8;3;6;4;5;13;11;9;7;3;10;5;10;12;13;11;6;10;2;4
"Vilunda/Korpkulla";"Woman";"55-64";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";7;7;7;7;7;9;8;8;7;7;7;7;7;7;7;6;8;8;9;8;9;9;8;9;9;11;6;10;11;11;11;10;11;10;11;11;10;10;10;11;8;11;11;8;8;9;9;11;11;11;11;8;8;9;9;11;12;12;12;11;8;7;1
"Hasselgatan";"Woman";"45-54";"Employee";"Other post-secondary education";"5-9 years";8;11;10;8;8;11;11;7;7;7;7;10;11;9;11;9;12;9;8;9;11;10;6;8;10;9;6;8;12;11;9;11;11;11;8;9;12;12;8;11;10;8;10;7;7;8;8;8;8;11;4;3;3;4;4;4;4;4;4;4;3;1;4
"Sigma/Apoteksskogen";"Man";"65+";"Employee";"Doctorate";"5-9 years";8;8;9;7;7;6;8;8;8;9;7;7;7;7;7;6;8;8;8;9;7;7;7;7;7;8;6;8;9;10;8;9;8;7;7;6;8;8;9;9;8;9;8;7;6;9;8;6;8;6;2;3;2;4;2;5;3;4;5;0;7;3;4
"Hasselbacken";"Man";"65+";"Senior citizen";"College/University";"5-9 years";14;0;0;14;7;8;8;8;8;0;7;7;7;7;7;6;10;14;7;7;14;6;6;8;14;14;10;9;14;14;13;11;14;9;14;14;10;14;0;11;14;14;14;10;4;14;9;12;14;14;13;7;5;13;1;14;14;14;14;14;10;10;0
"Norra Nordanvägen";"Woman";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";5;5;9;9;5;6;8;9;6;9;11;8;8;11;8;6;8;6;11;8;11;8;8;6;9;9;4;11;11;11;8;11;8;11;8;6;11;9;11;6;11;11;11;11;9;5;6;8;5;11;1;1;1;2;2;12;1;12;12;1;0;0;0
"Norra Bollstanäs";"Woman";"35-44";"Employee";"College/University";"5-9 years";9;8;7;11;10;8;10;11;9;7;7;8;7;7;7;7;7;7;7;13;11;9;12;7;8;9;8;8;14;13;11;11;13;10;14;14;13;13;12;11;9;10;8;8;9;14;13;12;11;10;1;1;2;2;3;6;7;8;5;5;6;6;4
"Sjukyrkoberget";"Man";"55-64";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";12;7;5;8;10;11;10;5;8;4;8;11;9;8;10;8;9;5;6;11;11;8;6;8;9;9;6;8;11;10;5;10;8;9;8;8;10;11;6;9;11;10;8;7;5;11;8;9;10;8;6;10;7;9;7;10;9;10;8;9;9;6;4
"Odenslunda";"Woman";"45-54";"Employee";"Other post-secondary education";"5-9 years";14;14;8;14;6;11;10;4;6;3;8;7;7;7;7;10;8;8;10;12;14;9;9;7;11;14;11;14;14;8;8;8;8;9;14;14;8;8;8;7;9;12;8;0;7;10;14;9;9;14;10;2;6;8;9;7;12;9;11;5;10;7;5
"Odenslunda";"Woman";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";13;11;3;9;10;12;9;8;7;7;8;2;7;7;7;12;12;7;7;14;6;14;14;14;0;9;9;8;10;7;14;14;14;14;14;10;10;7;7;7;14;14;14;7;7;12;10;8;8;11;8;0;5;14;1;8;14;8;14;8;6;7;5
"Holmen";"Man";"35-44";"Job-seeker";"Other post-secondary education";"0-4 years";14;12;7;9;10;14;14;13;3;8;10;0;9;5;8;5;13;8;9;10;9;9;7;11;10;9;6;9;10;11;8;9;10;9;11;10;9;8;6;7;9;7;8;7;10;10;14;13;12;14;4;8;3;7;6;13;12;13;2;14;9;9;3
"Stallgatan";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";10;4;7;7;11;11;10;6;7;7;8;6;5;8;7;5;6;5;8;7;10;8;5;8;10;8;5;8;8;7;11;8;10;8;10;9;8;9;10;8;7;7;8;6;6;9;9;11;10;10;8;1;1;3;8;6;8;8;3;9;8;8;4
"Norra Bollstanäs";"Man";"15-24";"Student";"High school, Nordic folk high school, or equivalent";"5-9 years";9;8;6;8;9;10;9;9;5;4;6;6;8;8;7;11;8;7;9;7;7;7;7;7;7;7;7;7;7;7;8;7;7;7;7;7;7;7;8;8;7;7;7;7;7;9;9;8;10;8;4;7;4;6;2;0;2;0;2;4;8;6;6
"Frestaby";"Man";"55-64";"Employee";"College/University";"5-9 years";14;8;6;8;7;8;8;6;5;5;4;11;9;9;10;4;5;4;6;7;7;7;7;7;7;6;6;6;10;10;10;10;10;10;10;8;11;11;11;8;8;11;9;7;7;9;9;8;3;8;11;3;3;2;2;11;11;7;12;5;6;7;2
"Runby";"Man";"35-44";"Employee";"College/University";"5-9 years";11;5;5;13;7;11;13;9;5;8;8;7;12;13;9;12;9;8;9;13;9;8;7;7;7;13;8;11;12;10;7;12;10;13;8;9;10;13;12;11;13;12;9;8;10;8;6;14;11;12;3;12;10;7;2;13;8;14;9;11;7;2;1
"Smedby 2";"Man";"55-64";"Long-term sick leave (more than 3 months)";"High school, Nordic folk high school, or equivalent";"10 or more years";14;10;11;8;9;11;11;11;3;9;4;9;11;10;11;11;10;9;11;11;9;10;10;8;8;11;8;11;11;10;11;10;10;10;10;10;10;10;10;10;10;11;11;9;8;6;11;10;11;11;12;11;11;10;8;8;10;10;10;8;6;6;5
"Brunnby-Vik";"Woman";"45-54";"Long-term sick leave (more than 3 months)";"Other post-secondary education";"5-9 years";10;10;3;11;11;11;11;7;7;7;9;0;7;7;7;7;7;7;7;7;14;7;7;7;7;3;10;7;14;7;9;14;8;6;13;12;11;14;11;14;0;7;7;7;7;7;7;7;7;7;2;10;3;5;14;14;5;5;12;2;5;8;7
"Sjukyrkoberget";"Man";"65+";"Senior citizen";"Other post-secondary education";"5-9 years";8;6;10;8;7;12;14;12;10;7;10;10;11;11;11;7;10;11;14;12;7;7;7;7;7;12;12;12;12;12;7;9;9;9;8;8;10;10;9;7;10;10;7;7;8;7;7;7;7;7;4;9;4;9;4;9;9;9;8;6;7;4;3
"Smedby 2";"Woman";"15-24";"Employee";"College/University";"5-9 years";11;7;7;7;8;9;8;6;8;0;7;7;7;7;7;2;14;13;6;13;14;13;6;8;11;11;1;10;10;10;9;14;12;13;11;12;12;10;4;8;14;10;12;7;9;8;9;11;12;14;8;7;6;9;10;5;5;5;8;10;10;10;8
"Sanda Ängar";"Woman";"25-34";"Employee";"College/University";"5-9 years";5;10;3;12;7;4;4;6;6;6;1;14;2;11;5;1;3;9;5;14;9;9;6;6;7;14;14;14;14;14;10;14;14;8;7;14;14;14;14;14;12;12;9;7;7;7;7;7;7;7;2;0;11;0;0;0;0;0;0;0;5;5;10
"Odenslunda";"Woman";"55-64";"Employee";"College/University";"5-9 years";9;6;8;6;9;8;7;8;5;9;8;6;6;6;8;6;10;8;8;8;8;8;9;8;8;9;8;9;8;8;9;9;9;9;9;9;8;9;8;8;9;9;8;8;8;8;8;9;8;9;4;5;5;5;5;4;5;6;7;3;6;6;6
"Grimstaby";"Woman";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";11;7;3;10;11;14;14;7;12;0;1;2;7;9;14;10;14;14;3;7;11;7;12;7;14;10;5;7;14;14;5;9;8;6;14;11;11;11;11;11;13;14;7;14;7;14;14;14;14;14;8;8;8;8;8;8;8;8;8;8;9;8;8
"Ekebo";"Woman";"45-54";"Self-employed";"College/University";"5-9 years";8;6;10;10;7;10;9;8;5;12;10;13;8;8;14;9;14;8;11;14;10;10;9;10;7;12;3;10;9;12;8;9;8;11;9;10;11;12;10;8;14;8;12;3;10;12;8;13;8;14;4;1;2;8;1;14;9;9;14;14;6;1;7
"Carlslund/Brunnby Park";"Man";"25-34";"Employee";"College/University";"5-9 years";13;11;6;11;13;14;13;12;5;11;6;8;9;7;14;12;13;5;11;14;5;6;12;4;6;14;5;13;12;11;6;8;13;9;14;14;13;12;9;8;12;13;11;6;14;2;9;10;11;11;10;12;2;13;4;5;3;6;14;11;4;7;4
"Frestaby";"Man";"55-64";"Employee";"Other post-secondary education";"0-4 years";6;8;11;9;2;5;8;10;2;13;1;8;6;10;11;7;4;9;12;6;7;7;7;7;7;11;3;6;9;9;7;7;7;7;7;7;7;7;7;7;9;12;7;8;5;8;10;6;12;7;10;11;4;9;2;5;6;7;8;3;2;4;3
"Frestaby";"Man";"55-64";"Employee";"College/University";"5-9 years";14;8;5;14;14;9;9;9;7;1;7;8;9;7;14;8;12;14;7;14;7;6;14;4;0;14;6;9;14;14;9;9;14;9;12;12;14;13;7;4;14;14;14;7;7;8;7;14;7;14;0;0;0;0;0;0;14;6;14;3;10;7;5
"Carlslund/Brunnby Park";"Woman";"25-34";"Employee";"College/University";"0-4 years";11;10;7;11;6;6;6;9;7;9;6;10;9;8;7;9;6;8;6;10;7;7;7;7;7;6;9;9;7;7;6;6;8;5;9;9;7;7;7;7;8;7;8;7;7;7;7;7;7;7;12;3;12;5;4;9;9;9;7;12;8;9;7
"Runby";"Man";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";6;8;4;9;5;13;9;12;2;7;3;4;8;12;6;14;5;14;14;14;14;14;3;13;8;8;14;9;14;14;0;12;9;11;8;10;14;14;9;12;14;14;14;1;5;14;14;9;8;14;3;10;2;14;9;12;4;8;11;6;5;1;0
"Länk-/Klock-/Kedje-/Bygelvägen";"Woman";"55-64";"Self-employed";"Other post-secondary education";"5-9 years";1;3;13;12;13;13;12;8;8;14;11;8;10;12;7;11;13;8;10;7;11;10;9;7;13;8;10;12;14;14;8;13;13;14;14;14;14;14;13;14;14;14;14;3;2;14;14;13;14;13;8;7;9;14;11;14;14;14;13;10;1;5;5
"Södra Bollstanäs";"Woman";"15-24";"Student";"High school, Nordic folk high school, or equivalent";"5-9 years";10;6;9;10;7;14;13;5;7;0;6;10;6;4;12;3;12;14;6;13;8;3;9;10;5;11;2;12;14;9;7;9;11;7;13;13;11;12;6;4;12;8;5;5;14;14;10;9;12;11;7;4;1;2;2;7;7;7;3;6;10;5;6
"Prästgårdsmarken";"Woman";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";13;14;2;12;12;9;6;8;14;12;8;11;1;2;7;12;9;7;7;7;7;7;7;7;7;13;3;11;12;14;14;11;10;13;8;13;7;7;7;7;10;9;7;7;7;13;10;9;7;7;13;9;14;7;7;6;13;14;14;12;10;10;6
"Carlslund/Brunnby Park";"Woman";"65+";"Employee";"College/University";"5-9 years";14;11;0;12;10;13;12;4;12;4;13;4;5;4;12;14;11;6;11;13;14;5;5;11;13;14;11;8;11;12;2;12;14;13;12;13;12;14;7;7;14;13;11;10;2;14;10;10;9;12;2;13;4;14;5;14;13;14;14;8;10;10;10
"Väsby villastad/Tegelbruket";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";14;7;7;7;7;13;8;13;8;3;4;7;12;12;12;14;14;7;7;7;4;14;4;4;4;12;12;12;12;12;4;12;8;10;13;11;11;8;7;7;12;9;12;8;8;10;10;10;9;9;11;13;4;6;12;12;7;7;4;2;10;10;0
"Brunnby-Vik";"Woman";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";6;8;11;8;9;6;8;9;0;14;8;8;7;8;8;8;7;9;10;13;8;6;8;6;10;8;8;8;8;8;8;10;7;8;8;8;11;11;11;9;8;8;9;6;7;7;12;8;8;8;7;7;7;12;7;7;7;9;9;7;1;5;5
"Holmen";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";12;11;6;11;6;7;12;4;4;2;5;4;4;11;11;11;11;12;11;12;11;10;10;4;4;12;3;12;11;11;14;14;14;14;8;7;7;7;7;7;12;12;12;12;4;11;14;9;9;13;14;10;14;14;14;0;0;0;0;0;10;10;10
"Brunnby-Vik";"Man";"55-64";"Employee";"Other post-secondary education";"5-9 years";0;9;14;1;3;14;7;8;6;14;7;13;8;12;11;3;12;8;6;14;14;12;8;6;7;4;13;8;10;14;13;8;11;12;9;9;14;12;7;4;14;11;3;7;7;12;8;14;5;9;7;9;6;5;14;8;11;9;6;10;2;0;0
"Norra Bollstanäs";"Woman";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"10 or more years";14;11;11;13;13;10;10;12;7;7;9;7;11;11;14;14;11;14;11;14;11;8;11;11;7;14;10;14;14;14;11;11;14;11;11;9;14;14;14;14;14;13;13;10;11;10;10;10;8;14;9;6;9;6;7;11;11;11;11;6;4;6;7
"Södra Bollstanäs";"Man";"35-44";"Employee";"College/University";"5-9 years";9;3;8;5;11;9;5;9;0;7;6;9;9;8;14;5;6;6;5;14;14;4;12;3;2;14;14;14;14;14;3;13;8;12;9;6;14;14;5;11;13;12;11;3;9;14;14;14;14;14;1;1;3;5;3;14;1;14;13;13;9;9;8
"Skälby";"Man";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";11;12;11;14;12;13;12;8;9;1;11;11;5;8;13;9;11;5;11;8;6;5;10;10;6;12;6;11;14;13;9;10;14;11;6;6;12;9;8;10;13;14;14;14;9;8;9;6;5;10;13;9;8;12;1;5;14;9;14;3;10;3;6
"Skälby";"Man";"65+";"Senior citizen";"College/University";"5-9 years";11;8;9;8;8;8;8;8;9;9;6;6;6;8;9;6;8;8;9;14;9;9;10;10;10;13;10;10;14;14;11;11;14;11;11;12;14;12;10;10;10;14;9;6;6;11;8;10;14;10;3;3;1;14;6;14;14;14;13;6;6;6;4
"Sanda Ängar";"Man";"35-44";"Employee";"College/University";"5-9 years";6;6;6;6;6;6;6;9;7;7;7;7;7;7;7;5;5;5;9;14;10;7;7;7;7;7;7;7;14;14;7;7;7;7;7;7;14;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;14;6;14;0;0;3;3;2
"Vilunda/Korpkulla";"Man";"55-64";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";8;4;8;10;10;11;11;8;3;8;7;7;7;7;11;7;5;9;8;10;7;7;7;7;11;7;7;7;7;7;9;7;9;7;7;7;7;7;7;7;11;7;11;7;11;9;4;9;4;11;4;10;5;10;5;10;10;10;10;6;8;2;2
"Södra Bollstanäs";"Woman";"45-54";"Employee";"Other post-secondary education";"5-9 years";5;8;14;8;9;5;9;10;4;10;7;7;7;7;7;7;7;7;7;7;6;6;6;6;6;5;5;5;11;11;9;9;9;9;9;12;13;7;7;7;10;10;12;12;5;7;7;7;7;12;1;1;1;5;1;11;11;11;11;5;1;6;1
"Frestaby";"Man";"55-64";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";11;4;11;5;7;13;13;10;7;7;11;9;9;10;9;10;8;9;9;12;7;7;7;7;7;10;10;10;10;9;8;9;9;7;7;7;7;7;7;7;14;13;7;7;7;7;7;7;7;7;8;8;2;8;1;2;6;0;0;0;7;8;5
"Norra Bollstanäs";"Man";"35-44";"Employee";"High school, Nordic folk high school, or equivalent";"0-4 years";14;11;8;13;12;14;12;10;8;7;9;8;10;14;13;11;14;8;10;13;12;8;14;9;11;8;8;12;14;13;13;13;13;12;14;14;12;13;11;10;10;11;12;13;14;12;10;11;13;14;12;11;8;10;6;13;14;14;13;12;5;5;5
"Frestaby";"Woman";"45-54";"Sickness or activity benefit";"High school, Nordic folk high school, or equivalent";"5-9 years";6;9;8;13;11;6;6;8;6;10;5;6;8;9;9;5;6;4;9;10;9;8;6;8;8;8;6;8;9;9;8;7;9;7;8;10;9;8;6;9;9;8;6;6;7;6;9;6;8;8;5;3;6;12;7;9;7;10;7;4;6;4;4
"Carlslund/Brunnby Park";"Woman";"45-54";"Employee";"College/University";"5-9 years";14;11;8;8;11;14;8;8;14;6;7;7;7;7;7;10;6;8;8;14;8;8;6;14;8;8;6;8;14;14;8;14;14;14;14;14;14;14;6;9;11;6;9;6;8;14;8;14;14;14;14;7;7;14;7;14;14;14;14;14;10;9;5
"Frestaby";"Woman";"45-54";"Employee";"College/University";"5-9 years";8;7;9;8;7;7;6;6;6;7;6;6;6;7;7;10;6;6;8;6;8;6;7;7;7;9;6;8;8;8;6;8;6;7;7;6;8;9;8;7;8;8;8;6;8;8;6;9;6;8;8;1;4;6;4;9;3;10;7;9;7;4;6
"Södra Bollstanäs";"Woman";"45-54";"Employee";"College/University";"5-9 years";10;12;13;8;7;9;7;5;6;14;6;12;9;12;11;6;13;4;13;14;13;11;12;10;4;4;14;14;14;13;5;13;5;12;11;11;14;13;14;10;9;12;12;3;9;6;10;10;8;11;2;1;3;13;8;11;9;14;10;5;3;4;8
"Runby";"Woman";"45-54";"Employee";"College/University";"5-9 years";11;11;3;11;11;11;11;8;8;3;7;11;7;11;11;7;11;7;11;11;11;11;11;7;7;11;7;11;11;11;11;11;11;11;11;11;11;10;7;11;11;11;11;7;7;7;7;7;7;7;9;9;9;9;9;9;9;9;9;9;10;10;5
"Södra Bollstanäs";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";7;6;6;8;5;11;9;7;7;7;7;10;10;10;10;8;7;11;7;10;8;10;6;11;7;12;10;8;11;10;7;7;7;7;7;12;12;12;7;6;10;10;7;7;7;7;7;7;7;7;5;5;8;6;5;4;5;9;9;5;4;5;2
"Vilunda/Korpkulla";"Woman";"35-44";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";11;10;4;11;11;14;9;10;7;7;6;11;8;6;12;11;11;8;11;11;11;11;11;11;7;10;7;7;7;7;11;11;7;7;7;11;10;9;7;7;11;11;11;11;11;9;9;11;12;11;14;11;12;10;9;13;12;10;9;11;10;10;0
"Odenslunda";"Man";"45-54";"Employee";"College/University";"5-9 years";9;9;9;9;9;9;9;7;7;7;7;7;7;7;7;7;7;7;7;7;12;8;14;7;7;11;14;13;14;14;8;11;14;14;14;14;14;14;14;14;11;14;11;11;11;11;11;11;11;11;7;7;7;9;11;14;14;14;14;14;9;5;5
"Hasselbacken";"Man";"65+";"Senior citizen";"Other post-secondary education";"5-9 years";7;7;7;7;7;8;6;7;7;7;4;8;7;7;7;9;7;7;7;7;10;7;7;7;7;6;8;9;7;7;6;7;7;7;7;6;7;7;7;7;6;9;10;7;7;7;7;7;7;7;3;3;3;3;3;4;1;2;3;0;4;4;3
"Kavallerigatan/Vilundaparken";"Man";"35-44";"Long-term sick leave (more than 3 months)";"College/University";"5-9 years";11;4;4;9;9;6;5;5;5;1;8;8;6;10;12;10;10;5;9;9;11;6;8;9;8;11;9;10;11;11;13;11;9;6;9;9;11;11;9;14;8;11;8;8;8;8;8;11;11;11;7;2;8;6;3;4;1;5;9;10;10;5;6
"Norra Bollstanäs";"Man";"55-64";"Employee";"College/University";"5-9 years";14;11;0;14;14;14;14;14;4;0;14;9;9;10;11;10;8;9;9;8;14;14;14;14;9;12;14;14;14;14;10;14;14;14;14;14;14;14;14;14;14;14;14;14;7;14;14;14;14;14;3;14;4;10;13;14;14;14;14;14;10;10;5
"Folkparksområdet";"Man";"15-24";"Employee";"Other post-secondary education";"5-9 years";4;9;14;9;10;5;6;8;6;14;5;10;6;8;14;6;6;8;8;14;6;8;8;5;5;6;13;10;11;7;8;7;11;10;10;8;14;11;12;8;14;14;9;12;13;4;11;5;9;9;3;1;2;13;5;12;8;10;14;6;0;4;7
"Infra City";"Woman";"15-24";"Employee";"College/University";"5-9 years";9;7;14;12;7;14;9;7;9;11;14;0;11;11;14;14;9;10;5;14;14;0;11;12;13;10;10;12;14;14;10;10;11;8;14;14;14;14;11;11;11;11;7;11;14;14;10;14;14;10;11;13;13;14;11;14;14;14;14;12;8;3;7
"Stallgatan";"Man";"35-44";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";10;8;8;9;10;8;8;8;7;6;5;7;7;7;9;7;9;7;9;7;8;8;8;7;7;8;10;10;10;10;8;8;8;8;8;8;8;8;8;7;8;7;7;7;7;8;8;8;7;7;12;13;11;13;10;14;13;14;10;10;8;6;3
"Vilunda/Korpkulla";"Woman";"55-64";"Employee";"College/University";"5-9 years";14;7;7;11;14;14;11;10;14;4;8;6;10;14;14;12;14;14;14;9;12;12;7;14;14;14;9;12;14;14;9;14;11;14;14;14;14;14;13;13;14;14;14;7;7;11;8;14;14;14;6;14;6;12;10;14;10;14;14;14;9;5;5
"Odenslunda";"Woman";"55-64";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";12;10;7;7;10;9;9;8;8;7;6;6;6;9;9;8;8;7;7;7;9;9;9;9;9;11;6;11;11;7;10;9;9;10;9;11;9;10;9;8;11;9;9;7;7;11;10;10;10;11;10;8;7;7;8;9;9;8;8;8;8;5;5
"Södra Bollstanäs";"Woman";"25-34";"Leave of absence";"College/University";"0-4 years";9;4;8;13;9;8;7;12;5;4;1;8;4;6;5;8;3;6;2;9;12;6;11;5;7;11;8;9;12;13;8;8;8;7;10;10;11;12;8;9;10;11;12;6;7;6;6;9;8;12;8;7;2;5;3;14;4;13;1;0;6;6;6
"Södra Bollstanäs";"Woman";"55-64";"Employee";"College/University";"5-9 years";11;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;11;7;7;7;7;7;7;14;14;14;14;7;7;7;7;7;14;7;7;7;13;11;9;8;14;13;12;8;13;12;14;12;14;14;11;9;8;5
"Vilunda/Korpkulla";"Woman";"35-44";"Employee";"College/University";"5-9 years";14;5;2;12;7;13;13;9;9;1;6;10;4;5;14;8;14;10;12;13;14;7;13;7;7;14;9;14;14;14;8;14;14;14;14;14;14;10;10;12;14;14;14;7;7;14;14;14;14;14;6;2;9;8;10;4;3;4;1;4;10;10;7
